scorer,DLC_resnet50_M9Jul27shuffle1_10000,DLC_resnet50_M9Jul27shuffle1_10000,DLC_resnet50_M9Jul27shuffle1_10000,DLC_resnet50_M9Jul27shuffle1_10000,DLC_resnet50_M9Jul27shuffle1_10000,DLC_resnet50_M9Jul27shuffle1_10000,DLC_resnet50_M9Jul27shuffle1_10000,DLC_resnet50_M9Jul27shuffle1_10000,DLC_resnet50_M9Jul27shuffle1_10000
bodyparts,head,head,head,body,body,body,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
17,82.08978271484375,146.13827514648438,0.9992290139198303,123.52420806884766,186.90274047851562,0.9821618795394897,131.655029296875,223.8329315185547,0.9685354232788086
18,81.29779815673828,144.58224487304688,0.9985629320144653,119.74592590332031,187.06533813476562,0.9818212985992432,130.9422149658203,222.26759338378906,0.9601473212242126
19,81.11209869384766,143.20765686035156,0.9982191324234009,117.86861419677734,186.27908325195312,0.9846648573875427,130.0052947998047,221.60305786132812,0.9631854295730591
20,81.84625244140625,142.4844512939453,0.998083233833313,118.11744689941406,187.10507202148438,0.9883272647857666,130.7866973876953,222.4796905517578,0.9665770530700684
21,81.2613754272461,141.4973602294922,0.9978395700454712,118.59591674804688,186.4707794189453,0.9879063367843628,131.73744201660156,222.4832000732422,0.9663824439048767
22,79.45917510986328,140.5153045654297,0.996472954750061,118.74427795410156,184.90249633789062,0.9856036901473999,130.6358184814453,221.66204833984375,0.9296567440032959
23,78.59915924072266,141.6197509765625,0.9958206415176392,119.0158920288086,182.50942993164062,0.9904502630233765,131.91445922851562,219.54541015625,0.9254253506660461
24,78.6729507446289,141.3265380859375,0.9939970970153809,119.09635925292969,181.4127197265625,0.9942772388458252,131.847412109375,218.38531494140625,0.8268186450004578
25,77.78445434570312,140.67449951171875,0.9935036897659302,120.44868469238281,181.5084991455078,0.9935383796691895,133.86968994140625,218.14833068847656,0.7299267649650574
26,78.39907836914062,139.51358032226562,0.9940242767333984,120.26272583007812,181.46743774414062,0.9935305118560791,136.81967163085938,218.07290649414062,0.8702176809310913
27,77.99319458007812,138.31149291992188,0.9931430816650391,120.76107788085938,181.30638122558594,0.9946399331092834,135.10293579101562,218.94105529785156,0.9838112592697144
28,81.91561126708984,136.9450225830078,0.9927312135696411,118.98396301269531,181.0975799560547,0.9954257011413574,132.1844482421875,218.3003387451172,0.9852702617645264
29,84.77973937988281,135.4270782470703,0.9974045753479004,118.04106903076172,181.0906982421875,0.9951152801513672,131.84271240234375,218.2578125,0.9842910766601562
30,88.44095611572266,135.19943237304688,0.9953540563583374,118.68385314941406,180.9562530517578,0.9926115274429321,130.6232147216797,220.1790313720703,0.9858865737915039
31,89.97047424316406,139.25184631347656,0.9927536249160767,120.28138732910156,181.27635192871094,0.9906662702560425,130.90347290039062,221.41717529296875,0.9822782278060913
32,91.86669158935547,138.7484893798828,0.9911001920700073,123.53520202636719,183.68666076660156,0.9863434433937073,132.57501220703125,221.61004638671875,0.9810211658477783
33,91.56541442871094,143.23243713378906,0.9909626245498657,125.76444244384766,184.17689514160156,0.9830839037895203,134.0407257080078,222.8937530517578,0.978711724281311
34,92.62471008300781,146.35525512695312,0.9954092502593994,126.96662902832031,185.77049255371094,0.9661034345626831,139.41650390625,221.61911010742188,0.9663748145103455
35,93.49586486816406,148.79444885253906,0.9965698719024658,127.72540283203125,189.29725646972656,0.9796632528305054,143.92295837402344,220.88475036621094,0.9035947322845459
36,92.46247100830078,148.23060607910156,0.9964383840560913,127.69868469238281,189.0146026611328,0.9781780242919922,142.6685028076172,220.11854553222656,0.8855392932891846
37,91.90725708007812,147.4504852294922,0.9947967529296875,127.98062133789062,188.0732421875,0.9808013439178467,142.70364379882812,219.0407257080078,0.8710550665855408
38,89.8967056274414,146.90554809570312,0.9916671514511108,127.7645034790039,183.7765655517578,0.9799649119377136,138.41200256347656,221.38497924804688,0.9029446840286255
39,88.05410766601562,142.85723876953125,0.9965848922729492,126.76667022705078,183.80210876464844,0.9817500114440918,137.0511932373047,220.00767517089844,0.9253923892974854
40,80.96867370605469,139.19039916992188,0.9983774423599243,124.71466827392578,182.31573486328125,0.9839483499526978,138.15103149414062,218.5820770263672,0.9171332120895386
