scorer,DLC_resnet50_M9Jul27shuffle1_10000,DLC_resnet50_M9Jul27shuffle1_10000,DLC_resnet50_M9Jul27shuffle1_10000,DLC_resnet50_M9Jul27shuffle1_10000,DLC_resnet50_M9Jul27shuffle1_10000,DLC_resnet50_M9Jul27shuffle1_10000,DLC_resnet50_M9Jul27shuffle1_10000,DLC_resnet50_M9Jul27shuffle1_10000,DLC_resnet50_M9Jul27shuffle1_10000
bodyparts,head,head,head,body,body,body,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
17,299.8104553222656,124.79371643066406,0.9957526922225952,240.9535675048828,122.93879699707031,0.8476845026016235,187.66746520996094,89.53394317626953,0.46141234040260315
18,299.8787841796875,124.40795135498047,0.9962003827095032,240.65480041503906,123.34451293945312,0.8423970937728882,187.50599670410156,89.44002532958984,0.4302137494087219
19,299.7653503417969,124.23807525634766,0.9963117837905884,240.5997314453125,123.80608367919922,0.8451520204544067,187.36416625976562,89.54457092285156,0.43332573771476746
20,299.6184997558594,123.99078369140625,0.9965749979019165,241.56211853027344,124.10607147216797,0.8701167106628418,187.7754364013672,89.90390014648438,0.26888567209243774
21,299.7229919433594,124.07652282714844,0.9967475533485413,241.44509887695312,124.196044921875,0.8671683669090271,187.8309783935547,89.90056610107422,0.2748955488204956
22,299.6914367675781,123.89019012451172,0.9967697858810425,241.44607543945312,124.15354919433594,0.8680397272109985,187.8482208251953,89.96315002441406,0.27699175477027893
23,299.5660400390625,124.00055694580078,0.9965187907218933,241.48545837402344,124.12934875488281,0.8668171167373657,187.9091033935547,90.03216552734375,0.2873753011226654
24,299.7874450683594,123.81526947021484,0.9964534044265747,240.826416015625,123.56578826904297,0.901003360748291,187.436279296875,90.46395111083984,0.29290318489074707
25,299.2027587890625,123.76863098144531,0.9959410429000854,240.73965454101562,123.42156219482422,0.9132847785949707,186.34642028808594,89.82196044921875,0.4303196668624878
26,298.8910827636719,124.07291412353516,0.995686411857605,240.64773559570312,123.2632064819336,0.9066566228866577,186.23634338378906,89.81596374511719,0.424752414226532
27,298.7719421386719,124.11849212646484,0.9955673217773438,240.40524291992188,123.22247314453125,0.9060862064361572,185.873291015625,89.68133544921875,0.40976983308792114
28,298.8273620605469,124.0763931274414,0.9956469535827637,240.417236328125,123.18038177490234,0.9030706882476807,185.87660217285156,89.72647857666016,0.4167610704898834
29,298.805419921875,123.84764099121094,0.9956970810890198,240.39239501953125,123.06519317626953,0.9016375541687012,185.86729431152344,89.7596206665039,0.42017531394958496
30,299.13970947265625,123.24413299560547,0.9965014457702637,240.45660400390625,122.92471313476562,0.8980237245559692,186.2680206298828,90.10721588134766,0.26200130581855774
31,299.2629089355469,122.99883270263672,0.996963381767273,240.460693359375,122.9734115600586,0.9027487635612488,185.92198181152344,90.07714080810547,0.2747717499732971
32,299.220947265625,122.95716094970703,0.9972309470176697,240.2508544921875,123.06389617919922,0.9095770120620728,185.8536376953125,90.12713623046875,0.282975971698761
33,299.19317626953125,122.96732330322266,0.9971301555633545,240.29295349121094,123.01770782470703,0.9078543186187744,185.86288452148438,90.18463897705078,0.2809937596321106
34,299.3424377441406,122.79209899902344,0.9970492124557495,240.26593017578125,123.00895690917969,0.9040641784667969,185.9987335205078,90.07356262207031,0.27942758798599243
35,299.36181640625,122.57340240478516,0.9971702694892883,240.2364044189453,122.97845458984375,0.8899873495101929,186.4841766357422,90.0744857788086,0.25768089294433594
36,299.8998107910156,122.08283233642578,0.9963831901550293,239.96568298339844,122.39508056640625,0.8723737001419067,197.27996826171875,91.86207580566406,0.3331010937690735
37,299.9102478027344,122.11429595947266,0.9964931011199951,240.25111389160156,122.4898452758789,0.8688737154006958,197.5407257080078,91.66487884521484,0.2970733046531677
38,299.7330627441406,121.90898132324219,0.9963874816894531,240.3828887939453,122.43705749511719,0.8732409477233887,197.5242156982422,91.66487121582031,0.3003614842891693
39,299.8563537597656,116.40756225585938,0.9967904090881348,240.4057159423828,122.4751205444336,0.8762837052345276,197.5288848876953,91.66936492919922,0.3005884885787964
40,299.8356018066406,121.30906677246094,0.9970232844352722,240.06307983398438,122.4258041381836,0.8835155367851257,197.14830017089844,91.61299133300781,0.38088011741638184
41,299.8058776855469,121.2928466796875,0.997012197971344,240.11944580078125,122.49272155761719,0.8826776146888733,197.2066192626953,91.68021392822266,0.3781130015850067
42,299.8400573730469,121.27973937988281,0.9970173835754395,240.07550048828125,122.50122833251953,0.8807916641235352,197.16336059570312,91.7491683959961,0.37941667437553406
43,299.8116760253906,121.27381896972656,0.9969710111618042,240.0790557861328,122.39176177978516,0.8797134160995483,197.22341918945312,91.72586059570312,0.37807929515838623
44,299.8191223144531,121.43517303466797,0.9970788955688477,240.83563232421875,122.39777374267578,0.8875821828842163,197.4209442138672,91.92018127441406,0.4020099937915802
45,299.5017395019531,121.77202606201172,0.9970049858093262,240.36685180664062,122.32914733886719,0.8773926496505737,197.46141052246094,91.6181640625,0.40244385600090027
46,299.5173645019531,121.77848052978516,0.9970029592514038,240.34384155273438,122.35002899169922,0.8762946128845215,197.6252899169922,91.70301055908203,0.39959824085235596
47,299.51715087890625,121.77818298339844,0.9970028400421143,240.34458923339844,122.34962463378906,0.8763267993927002,197.62525939941406,91.70304107666016,0.39960598945617676
48,298.9838562011719,121.74210357666016,0.9968990087509155,239.61912536621094,123.18870544433594,0.8513624668121338,186.1100311279297,89.1767349243164,0.28149017691612244
